review_id,year,source_node,target_node,relation,description
R01938,2018,darshan,poojas,co_occurrence,Both rituals were performed
R01938,2018,crowded,darshan,contrast,Crowded but still received darshan
R01938,2018,neat and clean premises,crowded,contrast,Cleanliness despite crowd
R00699,2014,lord shiva,darshan,description,darshan is a ritual related to lord shiva
R00699,2014,beautiful & sacred,lord shiva,description,temple's beauty and sacredness relate to lord shiva
R00607,2014,Bagmati River,cremation,description,cremation done in Bagmati River
R00607,2014,tourists,devotees,co_occurrence,tourists and devotees present together
R00607,2014,sadhoos or pandits,devotees,co_occurrence,sadhoos or pandits and devotees present together
R01429,2017,hallowed,divine,co_occurrence,Both describe the spiritual nature of the temple
R01313,2016,ashram for the elders,chant and laugh,co_occurrence,rituals happening at the ashram
R01313,2016,female sadhus,deity sculptures,co_occurrence,sadhus and sculptures at the entrance
R00611,2014,architecture of the site and buildings,stunning carvings,description,carvings are part of the architecture
R00611,2014,stunning carvings,courtyards of palaces,co_occurrence,carvings are present in courtyards
R01090,2016,oldest temple,Shiva,description,temple associated with Shiva
R01090,2016,Maha Shivaratri,non-Hindu entry ban,contrast,festival event with entry restriction
R00672,2014,cremations in progress,monkeys,co_occurrence,cremations and monkeys are mentioned together
R00672,2014,cremations in progress,eerie,description,cremations contribute to the eerie feeling
R00032,2011,guide,fascinating,causal,guide provided fascinating information
R00032,2011,holy men,entrance fee,contrast,holy men charged extra after photos
R01807,2018,biggest hindu temple,world heritage site,co_occurrence,Both describe the temple
R00641,2014,place of sadness,not one to take photos,contrast,place of sadness contrasts with photo restriction
R00287,2013,cremations,non-Hindu entry ban,co_occurrence,cremations visible to non-Hindus
R00287,2013,sadhus,negative feeling,causal,sadhus charging for photos contributes to negative feeling
R00287,2013,hassled from the street,negative feeling,causal,being hassled contributes to negative feeling
R00193,2012,non-Hindu entry ban,vast area,contrast,entry restriction contrasts with vast area to explore
R00193,2012,view of the valley,Himalayan range,co_occurrence,both are scenic views from the hilltop
R01218,2016,Peace,Monkeys,contrast,Peace contrasted with Monkeys
R01218,2016,old heritage,architectural view,co_occurrence,heritage and architecture mentioned together
R02244,2019,traditional cremation,other side of the river,co_occurrence,rituals observed from across the river
R02244,2019,shocking by moments,part of the culture,contrast,shocking yet cultural
R02299,2019,Hindu temple with Buddhist architecture,Entrance is restricted for Hindu only,contrast,Architectural uniqueness contrasted with entry restriction
R02299,2019,main temple might be closed in late afternoon,no photography inside the main complex,co_occurrence,Both are rules related to access and behavior
R01743,2017,main altar,silence and prayer,co_occurrence,main altar is a place for silence and prayer
R01743,2017,Nandi,visual appeal,description,Nandi contributes to visual appeal
R01743,2017,footwear storage service,vendors and shops,contrast,"footwear service is organized, vendors are bustling"
R00634,2014,non-Hindu entry ban,dampener for most foreigners,causal,entry restriction causes disappointment
R00634,2014,inside area,cow and other animal dung,description,inside area is dirty due to dung
R00654,2014,cremations,blessing of a recently deceased person,co_occurrence,Both rituals observed during visit
R00654,2014,colorful Sadus,various temples and statues,co_occurrence,Both seen during the visit
R00654,2014,monkeys,cotton candy vendor,contrast,Monkeys as a problem contrasted with enjoyment of vendor
R01420,2017,emotionally intense moments,incredible place,contrast,emotionally intense moments contrast with incredible place
R01420,2017,sadhus,people who want to sell you stuff,co_occurrence,sadhus and sellers both seek money from visitors
R00864,2015,beautiful piece of architecture,crowded,contrast,beautiful architecture contrasted with crowding
R00864,2015,Darshan,trust and believe for Hindus,causal,Darshan is a cause of trust and belief
R00460,2014,rudraksh beads,shops nearby,co_occurrence,rudraksh beads are available at shops nearby
R00460,2014,Lord Shiva,religious minded,description,Lord Shiva is significant for the religious minded
R01623,2017,Haarati,puja,co_occurrence,Haarati and puja are both prayer rituals
R01623,2017,holy river,monkey,contrast,"holy river is sacred, monkeys are a problem"
R00239,2013,locals,guide,co_occurrence,locals provide guiding service
R00239,2013,guide,cremations,co_occurrence,guide enhances experience of cremations
R00239,2013,cremations,neat experience,causal,cremations contribute to neat experience
R00513,2014,Bagmati river,lord Shiva,description,Shiva's home on the river bank
R00513,2014,entry fees,splendid architecture,contrast,entry fees contrasted with temple's architecture
R00914,2015,shoes removal,not clean,contrast,cultural rule contrasts with cleanliness issue
R01361,2016,main temple,cremation ground,contrast,tourists not allowed in main temple but can see cremation ground
R01361,2016,caves related to Naropa and Tilopa,Buddhist Yogi teacher,description,"caves related to Naropa and Tilopa, Buddhist Yogi teacher"
R02115,2019,funeral,back yard of this temple,co_occurrence,funeral performed at the back yard
R02115,2019,salvation,funeral,causal,salvation attained through funeral
R01518,2017,monkeys,cremations,co_occurrence,monkeys and cremations both mentioned
R01518,2017,cremations,cremation ceremony,description,cremations described as interesting but not easy
R01518,2017,photographers,cremation ceremony,contrast,"photographers find it interesting, but not easy for others"
R00374,2013,main temple,Nandi,description,Nandi is located outside the main temple
R00374,2013,main temple,awe,causal,main temple inspires awe
R00374,2013,Rudraksh,main temple,co_occurrence,Rudraksh shops are next to the main temple
R00066,2012,holy man,demand money,causal,holy man sadhoes demand money
R00066,2012,cremations,holy man,co_occurrence,holy man sadhoes present during cremations
R02015,2018,cremations,fascination,causal,cremations provide a fascination insight
R02015,2018,earthquake damage,1000 rupee charge,causal,charge likely for rebuild costs
R02019,2018,Bagmati River,cremation ceremony,co_occurrence,cremation ceremony occurs at the river bank
R00045,2011,guide,fascinating introduction,causal,Guide provides a fascinating introduction
R00045,2011,pseudo-Sadhus,non-Hindu entry ban,contrast,Pseudo-Sadhus contrast with non-Hindu entry ban
R01761,2017,mourning their loved ones,intrusive,contrast,feeling intrusive while observing mourning
R01761,2017,mourning their loved ones,intrigued,contrast,intrigued by the mourning process
R01183,2016,open funeral ceremonies,cremations,co_occurrence,funeral ceremonies and cremations are mentioned together
R01183,2016,Hindu only,beautiful,contrast,cultural restriction contrasted with beauty
R01183,2016,mourning over a lost loved one,emotional,causal,mourning causes emotional response
R00264,2013,extensive grounds,Bagmati River,description,grounds include the Bagmati River
R00264,2013,fake holy men,monkeys,co_occurrence,both are problems encountered
R00264,2013,funeral parlor,cremate their dead loved ones,description,funeral parlor is where cremations occur
R00264,2013,forest and temple complexes,real holy men,description,holy men meditate in the forest and temple complexes
R00264,2013,forest and temple complexes,pilgrims,description,pilgrims wander in the forest and temple complexes
R00689,2014,wonderful temples,old peoples' retirement home,co_occurrence,Both are part of the temple complex
R00689,2014,ghats by the river,guide,co_occurrence,Both mentioned as part of the visit
R00740,2015,priests,darshan,causal,priests claim to offer fast darshan
R00740,2015,cleaning,"monkey, birds poop",description,"cleaning needed due to monkey, birds poop"
R01837,2018,peaceful place,clean environment,co_occurrence,peaceful place and clean environment mentioned together
R01837,2018,not much crowded,Shivaratri,contrast,not crowded except during Shivaratri
R01609,2017,cremations,tourists taking pictures,contrast,cremations contrasted with disrespectful tourists
R01609,2017,guides wanting money,women selling jewellery,co_occurrence,both guides and women selling jewellery are problems
R01609,2017,sadhus,guides wanting money,co_occurrence,sadhus and guides both ask for money
R00136,2012,funerals,40 a day,description,high number of funerals
R00136,2012,guide,funerals,causal,guide explains funerals
R00136,2012,strange,funerals,co_occurrence,strange feeling about funerals
R01955,2018,peaceful,blessed,co_occurrence,peaceful feeling and blessed feeling occur together
R01955,2018,god shiva,blessed,causal,blessed feeling attributed to god shiva
R02237,2019,surroundings,entrance fee,contrast,expectations due to entrance fee vs. disgraceful surroundings
R02237,2019,temple itself,cremation and burial,co_occurrence,temple beauty and cremation process add authenticity
R02050,2018,cremation,bridge,co_occurrence,cremation takes place near the bridge
R02050,2018,temple grounds,grieving ritual,causal,isolation in temple grounds is part of grieving ritual
R02156,2019,cremations,holy river,causal,cremations involve dumping into the holy river
R00800,2015,non-Hindu entry ban,cremations,contrast,non-Hindus can't access main temple but can see cremations
R00800,2015,cremations,interesting experience,description,cremations described as interesting experience
R01417,2017,Bagmati river,temples and monuments,co_occurrence,temples and monuments located by the river
R01417,2017,1000 rupees entry fee,guide,contrast,entry fee and guide fee are the same
R01417,2017,cremation,ghat,description,ghat is a viewpoint for cremation
R01720,2017,Sacred Bagmati River,cremations,co_occurrence,cremations happening along the river banks
R01720,2017,Guide,Sadhus,causal,Guide introduced the reviewer to Sadhus
R01720,2017,Sadhus,Kirtan,co_occurrence,Sadhus invited the reviewer to join Kirtan
R01720,2017,aesthete BaBa,Guide,co_occurrence,Guide took the reviewer to meet BaBa
R01720,2017,Kalava,sense of mortality,causal,Receiving the Kalava contributed to the sense of mortality
R02171,2019,5th dham of lord Shiva,peaceful,description,5th dham of lord Shiva described as peaceful
R02171,2019,5th dham of lord Shiva,positive vibes,description,5th dham of lord Shiva described as having positive vibes
R01914,2018,beautifully and artistically made,no photography zones,contrast,beautiful structure but no photos allowed
R01914,2018,aarti,dirty,co_occurrence,aarti area is dirty
R01914,2018,aarti,funeral rituals,co_occurrence,aarti and funeral rituals occur in the same place
R01914,2018,funeral rituals,public funeral rituals,description,funeral rituals are public
R00279,2013,ticket counter,tour guide,causal,"ticket counter made me pay, tour guide tried to stop me"
R00279,2013,beautiful,surrounding area,contrast,temple is beautiful but surrounding area is not worth it
R01657,2017,cremation,most important place,co_occurrence,Cremation is part of the important spiritual experience
R01657,2017,experienced guide,most important place,contrast,Guide enhances the experience of an important place
R01287,2016,huge Hindu temple,surrounding grounds,description,temple includes surrounding grounds
R01287,2016,Non-Hindu's can not go into the center,surrounding grounds,contrast,access restriction to center vs. surrounding grounds
R01950,2018,temple of Lord Pashupatinath,Lord Siva,description,temple dedicated to Lord Siva
R01950,2018,temple of Lord Pashupatinath,best temples,description,temple described as one of the best
R01950,2018,temple of Lord Pashupatinath,South-Asia,description,temple located in South-Asia
R02403,2021,Hindu temple of Lord Mahadev,Peaceful,description,The temple is described as peaceful
R01192,2016,Puja,darshan,co_occurrence,Puja and darshan are both rituals experienced
R01192,2016,temple management,cooperative people,causal,Cooperative people contribute to good temple management
R01192,2016,temple management,beautiful experience,causal,Good management contributes to a beautiful experience
R02091,2018,Hindu shrine,Bagmati River,co_occurrence,Hindu shrine located near Bagmati River
R02091,2018,live cremation,blessed,causal,Feeling blessed due to witnessing live cremation
R01107,2016,funeral pyres,death ritual,contrast,funeral pyres seen as natural or grotesque
R01107,2016,Hindu complex,non-Hindu entry ban,description,part of the complex is off-limits to non-Hindus
R01107,2016,holy Sadus,Hindu complex,co_occurrence,Sadus are part of the Hindu complex
R01107,2016,guide,Hindu complex,causal,guide needed to enhance experience of the complex
R01849,2018,ancient Shiva temple,mystical and mythological significance,description,temple's mystical and mythological significance
R01849,2018,ancient Shiva temple,Himalayas,description,temple located at the foothills of Himalayas
R01849,2018,ancient Shiva temple,religious people,co_occurrence,attraction for religious people
R02016,2018,Hindu cremation rituals,Bagmati river,co_occurrence,cremation rituals held at the river
R02016,2018,main temple,dress code requirement,description,main temple requires appropriate dress
R01644,2017,cremation grounds,ritual bathing,co_occurrence,Both occur at the site
R01644,2017,nomadic yogis,meditative atmosphere,causal,Yogis favor the site for its atmosphere
R01644,2017,snake charmers,hypnotic tunes,description,Charmers play tunes
R01644,2017,wandering sadhus,cremation grounds,co_occurrence,Sadhus are present at the site
R00543,2014,entry,once in a lifetime experience,contrast,Entry cost contrasted with the value of the experience
R00543,2014,"not exactly a lighthearted, fun experience",come to terms with what we were seeing,causal,The dual nature of the experience caused reflection
R01840,2018,burning bodies,burial ceremony,co_occurrence,Burning bodies are part of the burial ceremony
R01840,2018,opposite side of the river,tourist area,contrast,Tourist area is on the opposite side of the river
R01840,2018,guide,Sadhus,description,Guides take tourists to see Sadhus
R01840,2018,Sadhus,being blessed,causal,Sadhus bless tourists
R00306,2013,public cremations,private ceremony,contrast,public vs private ceremony
R00306,2013,members of the public,observe,description,public allowed to observe
R00444,2013,Shiva art,big brass cow,contrast,Shiva art is interesting but blocked by cow
R00444,2013,cremations,filthy river,co_occurrence,cremations occur along the river
R00444,2013,sacred cows,olfactory overload,causal,sacred cows contribute to olfactory overload
R02312,2019,4 Gates,parikramna,causal,4 Gates are related to the ritual of parikramna
R02312,2019,River Bagmati,small temples,co_occurrence,River Bagmati and small temples are mentioned together
R02312,2019,shoes counter,RS 100 for Saarc countries,contrast,"Shoes counter is free, contrasting with entry fee"
R01440,2017,cremation site,cremation,description,cremation site involves cremation
R01440,2017,cremation,family members,co_occurrence,family members take pictures of cremation
R01440,2017,cremation site,"sobering, rich and religious",description,cremation site has a sobering atmosphere
R01379,2017,monuments,earthquake,causal,monuments affected by earthquake
R00901,2015,richly ornamented pagoda,sacred Linga,description,pagoda houses the sacred Linga
R00901,2015,Bagmati River,funeral pyres,co_occurrence,funeral pyres are built along the river
R00901,2015,funeral pyres,cremations,description,cremations occur on the funeral pyres
R00901,2015,sadhus,special atmosphere of death,co_occurrence,sadhus contribute to the atmosphere of death
R00679,2014,entrance fee,guidance services,co_occurrence,high entrance fee and guidance services offered
R00679,2014,cremation place,cremation ceremony,description,cremation place is where the ceremony occurs
R00679,2014,monks,cremation ceremony,co_occurrence,monks present during cremation ceremony
R00679,2014,cremation ceremony,sense of mortality,causal,cremation ceremony causes sense of mortality
R00679,2014,cremation ceremony,crowds of people,co_occurrence,cremation ceremony witnessed by crowds
R01956,2018,main temple,shivlinga,description,main temple contains a shivlinga
R01956,2018,main temple,monkeys,contrast,main temple is beautiful but beware of monkeys
R00176,2012,funeral pyres,mourners,co_occurrence,funeral pyres and mourners are part of the same ritual
R00176,2012,guide,unlicensed guides,contrast,guides are crucial but unlicensed guides are a problem
R00176,2012,tourist police,unlicensed guides,causal,tourist police are busting unlicensed guides
R00176,2012,licensed guides,Kumar Dahal,description,Kumar Dahal is a licensed guide
R01339,2016,cremate their loved ones,burial rituals,co_occurrence,cremation is part of burial rituals
R01339,2016,burial rituals,fascinated,causal,rituals caused fascination
R02072,2018,Burial site,Early morning,co_occurrence,Best time to visit burial site
R02072,2018,Expensive for tourists,Buddha Bodnath stupa,contrast,Expensive entry contrasted with nearby attractions
R02158,2019,Hindu culture,rituals,co_occurrence,Hindu culture and rituals are mentioned together
R00258,2013,gathering of people,funeral,co_occurrence,people gathered for the funeral
R00258,2013,dead body wrapped in yellow cloth,river,co_occurrence,body lying by the river
R00258,2013,"haunting, too real, yet beautiful",smell of burned corpses,contrast,beautiful yet uncomfortable smell
R00258,2013,smell of burned corpses,conscious about your presence and the meaning of life and death,causal,smell leads to consciousness about life and death
R00418,2013,temples,guide,causal,Guide helps explain the temples
R00418,2013,temples,significance and history,description,Temples have historical significance
R00391,2013,admission fee,outside of the Hindu Temple,contrast,high fee contrasts with outside access
R00391,2013,outside of the Hindu Temple,Hindu funerals,co_occurrence,funerals observed from outside
R00931,2015,funeral rituals,guide,causal,Guide needed to understand funeral rituals
R02154,2019,main temple,Hindus only,description,Access restricted to Hindus
R02154,2019,main temple,camera or photography,description,Photography not allowed
R02154,2019,special pujas,main temple,co_occurrence,Special pujas offered inside
R00218,2012,evening ceremonies,chanting,co_occurrence,ceremonies include chanting
R00218,2012,bank opposite the temple,evening ceremonies,description,viewing location for ceremonies
R00218,2012,non-Hindu entry ban,bank opposite the temple,contrast,alternative viewing due to entry ban
R00546,2014,cremations,Hindi funerals,description,cremations are part of Hindi funerals
R00333,2013,divine treat,strong force,co_occurrence,divine treat and strong force felt together
R00333,2013,strong force,temple premises,description,strong force felt inside temple premises
R00764,2015,big area for 'common' people,smaller and more peaceful for 'VIP' people,contrast,comparison between common and VIP areas
R00764,2015,holy men,expect to be paid,causal,holy men expect payment for photos
R01462,2017,Shiva,Hindu temple,description,Shiva is the main god inside the temple
R00675,2014,stench of burning bodies,filthy open sewer,co_occurrence,Both are negative aspects of the environment
R00675,2014,Non Hindus are not allowed,opposite bank of the river,contrast,Non-Hindus view from opposite bank due to entry restriction
R01863,2018,main temples,Hindu,cultural_rule,access restricted to Hindus
R01863,2018,pressure from people,tricksters,co_occurrence,both relate to deceptive practices
R00548,2014,courtyard,gilt and silver-plated doors,co_occurrence,courtyard contains richly ornamented doors
R00548,2014,chaturmukha linga,guardian deities,description,chaturmukha linga is in the sanctum with guardian deities
R00548,2014,Bhattas,Mool Bhatt,description,Mool Bhatt is the chief among Bhattas
R00548,2014,Bagmati River,Arya Ghat,description,Arya Ghat is located by the Bagmati River
R00548,2014,Bagmati River,Bhasmeshvar Ghat,description,Bhasmeshvar Ghat is a cremation site by the Bagmati River
R01393,2017,ghats,cremations,co_occurrence,cremations occur at the ghats
R01393,2017,cremations,local people,co_occurrence,local people watch the cremations
R01393,2017,cremations,humbling,causal,witnessing cremations causes humbling feeling
R01214,2016,Monkeys,important places for buddhists and hindus,co_occurrence,Monkeys are present in the sacred space
R01460,2017,crematorium,burn dead bodies,co_occurrence,Crematorium is where bodies are burned
R01460,2017,offerings,burn dead bodies,co_occurrence,Offerings are part of the worship ritual
R01460,2017,entry fee,busy,contrast,Entry fee contrasts with the busy nature
R01086,2016,ancient temple,Bagmati River,co_occurrence,temple located on the bank of river
R01086,2016,ancient temple,worth visit,description,temple described as worth visiting
R01086,2016,ancient temple,very famous temple,description,temple described as famous
R02384,2020,Beautiful architecture,Vibrant prayer & devotion,co_occurrence,Architecture and rituals mentioned together
R02384,2020,Chaotic & energetic,Lots to see,co_occurrence,General sentiment about the experience
R01488,2017,body of the people are burning,Bagmati river,co_occurrence,cremation ceremony occurs near the Bagmati river
R01488,2017,Bagmati river,temples,co_occurrence,temples are located around the Bagmati river
R00613,2014,divine feel,wonderful place,description,divine feel describes the place
R00613,2014,feel heaven,wonderful place,description,feeling of heaven describes the place
R01039,2016,river,cremation ceremony,co_occurrence,Cremation happens on the river banks
R01039,2016,cremation ceremony,peaceful,contrast,Cremation is contrasted with peace
R00463,2014,puja,very positive,causal,puja caused positive feeling
R00463,2014,aarti,very positive,causal,aarti caused positive feeling
R02029,2018,cremations,shocking,causal,Cremations caused a shocking feeling
R02029,2018,cremations,glimpse into another culture,description,Cremations described as a cultural glimpse
R00331,2013,funeral bier,burning,co_occurrence,funeral bier preparation and burning are part of the same ritual
R00331,2013,grieving and support,consideration of issues of life and death,causal,grieving leads to consideration of life and death
R00029,2011,funeral pyre,cremation ceremony,co_occurrence,funeral pyre is part of the cremation ceremony
R00029,2011,priest,funeral pyre,causal,priest prepares the funeral pyre
R00029,2011,monkeys,cremation ceremony,contrast,monkeys disturb the cremation ceremony
R00029,2011,sadhus,sense of mortality,description,sadhus contribute to the spiritual atmosphere
R00156,2012,families publically mourn,cremation,co_occurrence,mourning occurs during cremation
R00156,2012,Babas,puja,causal,Babas offer puja
R00156,2012,non-Hindu entry ban,higher fee for non-Hindu westerners,contrast,entry restrictions and fees differ for non-Hindus
R00156,2012,sense of mortality,heartwrenching,contrast,sense of mortality contrasts with heartwrenching emotions
R02056,2018,silence within,Shiva,causal,Shiva is calling leads to listening to the silence within
R02056,2018,divine and sacred land,land of Buddha,co_occurrence,divine and sacred land of Shiva in land of Buddha
R02196,2019,open air riverside cremations,western perspective,contrast,cremations are confronting from a western perspective
R02196,2019,open air riverside cremations,part of life,description,cremations are described as part of life
R00147,2012,Hindus,pillars of Hinduism,description,Hindus view it as a pillar of their faith
R00498,2014,entry fee,government,causal,government decided to impose entry fee
R00498,2014,entry fee,entry fee,co_occurrence,entry fee is seen as a problem
R01289,2016,cremation ceremony,naked sadhus,co_occurrence,Both observed during the visit
R01289,2016,holy men,beautiful temples,co_occurrence,Both observed during the visit
R01289,2016,beautiful temples,non-Hindu entry ban,contrast,Temples are beautiful but have entry restrictions
R01847,2018,Monkey,The Holy River,co_occurrence,Monkey and The Holy River mentioned together
R01847,2018,The Holy River,remind past and future life,causal,The Holy River evokes spiritual emotion
R01998,2018,devout Hindi guide,rites of preparation of the body for cremation,causal,Guide explains the rites
R01998,2018,mourning the loss of a loved one,change how you think about death,causal,Mourning impacts thoughts on death
R00791,2015,fake guides,guided visit,contrast,fake guides contrast with guided visit
R00791,2015,cremation ceremonies,authentic,description,cremation ceremonies described as authentic
R01832,2018,crematorium area,circle of life,description,crematorium area as part of the circle of life
R01832,2018,grief,Hindu wedding,contrast,contrast between public grief and wedding
R01832,2018,Hindu wedding,blessed,causal,witnessing the wedding caused feeling blessed
R00921,2015,cremations,lovely temples,co_occurrence,cremations and temples are both mentioned as things to see
R00921,2015,entry is 1000rs,green Sahja Yatayat bus,contrast,entry fee is steep but transportation is easy and cheap
R01240,2016,que to visit the main temple,cleanliness inside temple,co_occurrence,Both are aspects of temple management
R01240,2016,facilities for worshippers,informative and directional sign boards,co_occurrence,Both are suggested improvements
R01509,2017,ancient temple,beautiful spiritual place,description,temple described as spiritual
R01509,2017,Hindus,non-Hindu entry ban,description,entry restriction based on religion
R02313,2019,outdoor crematory,cremation ceremony,co_occurrence,cremation ceremony occurs at the outdoor crematory
R02313,2019,smoke and smell,cremation ceremony,co_occurrence,smoke and smell associated with the cremation ceremony
R02313,2019,only Hindus were allowed,outdoor crematory,description,cultural rule related to access to the main temple
R01016,2016,Lord Shiva,sacred,description,"Lord Shiva is worshipped, creating a sacred feeling"
R01016,2016,sacred,amazing view,co_occurrence,sacred feeling and amazing view mentioned together
R00649,2014,burning dead bodies,very old place,co_occurrence,Both mentioned as part of the experience
R00649,2014,very old place,exiting symbols,description,Symbols are part of the old place
R01003,2016,someone to explain,things you see,causal,explanation needed for understanding
R00752,2015,cleanliness,major hindu temple,contrast,cleanliness issue contrasts with temple's significance
R00752,2015,great spirit,cleanliness,causal,cleanliness dampened the great spirit
R00676,2014,cremation area,profound and humbling experience,causal,cremation area causes profound and humbling experience
R00676,2014,sadhus,sense of humor,description,sadhus have a sense of humor
R00676,2014,expect to be tipped,sadhus,description,sadhus expect to be tipped
R00676,2014,accosted continually,expect to be tipped,contrast,accosted by sellers contrasts with tipping sadhus
R00862,2015,main temple,non-Hindu entry ban,description,Entry restriction for non-Hindus
R00862,2015,local guide,sadhus,co_occurrence,Both require tips
R01630,2017,priests,donation,causal,priests ask for donations
R01630,2017,menu of prices,priests,description,priests provide a menu of prices
R01630,2017,cremation area,non-Hindu entry ban,contrast,foreigners charged for cremation area despite entry ban
R01006,2016,Hindu cultures,rituals,co_occurrence,Hindu cultures and rituals are mentioned together
R00124,2012,guide,religious cremations,co_occurrence,guide explains the cremation process
R00124,2012,river,religious cremations,co_occurrence,cremations take place by the river
R00124,2012,religious cremations,culture shock,causal,cremations caused culture shock
R00124,2012,Sodu,guide,contrast,Sodu are funny compared to the serious guide
R01171,2016,large site,entrance fee,description,large site with entrance fee
R01171,2016,guide,stared at and followed,contrast,having a guide did not prevent being followed
R02261,2019,Bagmati River,golden temple,co_occurrence,Both mentioned as part of the temple complex
R02261,2019,cremation,bodies being cremated,description,Cremation involves bodies being cremated
R00937,2015,wrapped up bodies,grieving families,co_occurrence,bodies and families are part of the same scene
R00937,2015,ash in the air,garbage,co_occurrence,ash and garbage are environmental issues
R00937,2015,heavy feeling of death,wrapped up bodies,causal,feeling of death caused by seeing bodies
R01762,2017,Bagmati River,burning bodies,co_occurrence,burning bodies seen across the Bagmati River
R01762,2017,Holy men,concrete steps,description,Holy men sat on concrete steps
R01762,2017,feeling of intrusion,something really special,contrast,feeling of intrusion contrasted with something special
R00635,2014,main temple,non-Hindus,cultural_rule,main temple access restricted to Hindus
R00635,2014,crematorium smokes,main temple,co_occurrence,crematorium smokes near main temple
R00635,2014,Nepali bazaar,devotional items,description,bazaar sells devotional items
R00081,2012,river,garbage,contrast,river is better without garbage
R02330,2019,cremation ceremony,Bachhareshwari Temple,co_occurrence,Both mentioned as part of the visit
R02330,2019,traditional wood carving,Bachhareshwari Temple,description,Wood carving is a feature of Bachhareshwari Temple
R02330,2019,monkeys,cremation ceremony,contrast,Aggressive monkeys contrast with the peaceful ritual
R01705,2017,afterdeath rituals,atmosphere,description,rituals contribute to atmosphere
R01705,2017,entrance fee,respectful,contrast,fee contrasts with respectfulness
R01507,2017,cremations,fascinating,contrast,Different reactions to the cremations
R01507,2017,cremations,turned off,contrast,Different reactions to the cremations
R01507,2017,lots of people,fascinating,co_occurrence,People found it fascinating
R00377,2013,artificial arts,handicrafts in ancient time,co_occurrence,Both are examples of cultural heritage
R00377,2013,cultural place of hinduism,artificial arts,description,The place contains artificial arts
R01594,2017,dead bodies burning,sense of mortality,causal,burning bodies evoke sense of mortality
R01594,2017,Hindu Only small praying temple,non-Hindu entry ban,description,temple access restricted to Hindus
R01594,2017,colorful monks,non-Hindu entry ban,contrast,monks interact despite entry restrictions
R01553,2017,aarti ceremony,ghat,co_occurrence,aarti ceremony happens across the ghat
R01553,2017,holy river,hindu ceremony,co_occurrence,hindu ceremony happens by the holy river
R01553,2017,aarti ceremony,mixed feeling,causal,aarti ceremony causes mixed feeling
R01746,2017,ancient Unesco Heritage site,no leatherwear allowed,contrast,cultural rule contrasts with heritage site
R01746,2017,holy men,corpses being cremated,co_occurrence,holy men and cremation occur in the same area
R01746,2017,corpses being cremated,ceremonies and rituals,description,rituals accompany the cremation
R01081,2016,beautiful temple,free entry,contrast,beautiful temple but free entry
R01081,2016,cremation,sense of mortality,co_occurrence,cremation evokes sense of mortality
R01102,2016,1000 rupees for foreigners,Non-Hindu's cannot enter,contrast,cost for foreigners vs entry restriction for non-Hindus
R01102,2016,river,cremated,description,river is where cremation occurs
